Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL,AAL,DAL,UAL
Date,,,,,,,,,,,,,,,,,,
2024-05-01,13.579999923706055,49.4844970703125,50.66999816894531,13.579999923706055,50.02000045776367,50.66999816894531,13.8100004196167,50.5,51.5099983215332,13.329999923706055,49.279998779296875,49.72999954223633,13.5,50.040000915527344,51.400001525878906,28428300,10368700,9732300
2024-05-02,13.859999656677246,50.48367691040039,51.68000030517578,13.859999656677246,51.029998779296875,51.68000030517578,13.899999618530273,51.189998626708984,51.81999969482422,13.6899995803833,50.2400016784668,50.91999816894531,13.779999732971191,50.59000015258789,51.38999938964844,24191500,8196100,7455900
2024-05-03,13.850000381469727,50.998111724853516,51.650001525878906,13.850000381469727,51.54999923706055,51.650001525878906,14.069999694824219,51.650001525878906,52.75,13.720000267028809,50.81999969482422,51.22999954223633,14.0,51.36000061035156,52.0,22056600,9165900,7315500
2024-05-06,14.649999618530273,52.36334228515625,53.970001220703125,14.649999618530273,52.93000030517578,53.970001220703125,14.75,53.0,54.060001373291016,13.920000076293945,51.68000030517578,51.70000076293945,13.920000076293945,51.959999084472656,51.93000030517578,46744300,8541200,8713600
2024-05-07,14.25,51.64115905761719,52.689998626708984,14.25,52.20000076293945,52.689998626708984,14.630000114440918,52.529998779296875,53.349998474121094,14.140000343322754,52.0099983215332,52.56999969482422,14.539999961853027,52.13999938964844,53.29999923706055,25770500,6583900,6193500
2024-05-08,14.420000076293945,51.720298767089844,53.02000045776367,14.420000076293945,52.279998779296875,53.02000045776367,14.520000457763672,52.75,53.5,14.180000305175781,51.959999084472656,52.630001068115234,14.260000228881836,52.15999984741211,53.119998931884766,22832400,5125500,4853200
2024-05-09,14.479999542236328,52.18526840209961,52.630001068115234,14.479999542236328,52.75,52.630001068115234,14.630000114440918,52.900001525878906,53.16999816894531,14.319999694824219,52.02000045776367,52.58000183105469,14.359999656677246,52.130001068115234,52.959999084472656,23590200,4601700,3540700
2024-05-10,14.399999618530273,52.03687286376953,52.720001220703125,14.399999618530273,52.599998474121094,52.720001220703125,14.609999656677246,53.150001525878906,53.369998931884766,14.319999694824219,52.15999984741211,52.459999084472656,14.539999961853027,52.95000076293945,52.97999954223633,16180700,6118900,3534100
2024-05-13,14.930000305175781,52.522552490234375,54.400001525878906,14.930000305175781,52.9900016784668,54.400001525878906,15.069999694824219,53.86000061035156,54.68000030517578,14.520000457763672,52.79999923706055,53.20000076293945,14.539999961853027,52.959999084472656,53.22999954223633,33380100,7137400,7634000
2024-05-14,15.1899995803833,52.5919303894043,55.09000015258789,15.1899995803833,53.060001373291016,55.09000015258789,15.359999656677246,53.5099983215332,55.220001220703125,15.069999694824219,52.939998626708984,54.79999923706055,15.09000015258789,53.43000030517578,54.79999923706055,27970400,5549600,7655000
2024-05-15,14.9399995803833,52.790164947509766,54.959999084472656,14.9399995803833,53.2599983215332,54.959999084472656,15.25,53.529998779296875,55.38999938964844,14.90999984741211,53.0,54.83000183105469,15.199999809265137,53.31999969482422,55.380001068115234,25983600,5655300,7519500
2024-05-16,14.789999961853027,52.046783447265625,54.779998779296875,14.789999961853027,52.5099983215332,54.779998779296875,15.079999923706055,53.47999954223633,56.18000030517578,14.65999984741211,52.470001220703125,54.650001525878906,15.0,53.33000183105469,55.43000030517578,22652500,4801100,6892400
2024-05-17,14.729999542236328,52.235111236572266,54.970001220703125,14.729999542236328,52.70000076293945,54.970001220703125,14.989999771118164,53.209999084472656,55.84000015258789,14.720000267028809,52.43000030517578,54.84000015258789,14.850000381469727,52.529998779296875,55.150001525878906,18472100,4535300,7157900
2024-05-20,14.520000457763672,52.522552490234375,54.619998931884766,14.520000457763672,52.9900016784668,54.619998931884766,14.779999732971191,53.2400016784668,55.27000045776367,14.420000076293945,52.54999923706055,54.560001373291016,14.770000457763672,52.56999969482422,54.9900016784668,26818800,4470500,5517500
2024-05-21,14.029999732971191,51.769256591796875,53.029998779296875,14.029999732971191,52.22999954223633,53.029998779296875,14.489999771118164,52.880001068115234,54.599998474121094,14.010000228881836,52.02000045776367,52.95000076293945,14.430000305175781,52.709999084472656,54.439998626708984,22692900,6094900,6767400
2024-05-22,14.100000381469727,51.1249885559082,52.41999816894531,14.100000381469727,51.58000183105469,52.41999816894531,14.25,52.400001525878906,53.400001525878906,14.010000228881836,51.13999938964844,52.209999084472656,14.069999694824219,52.209999084472656,52.880001068115234,19136400,6309900,4725000
2024-05-23,13.819999694824219,50.74834442138672,51.7599983215332,13.819999694824219,51.20000076293945,51.7599983215332,14.140000343322754,51.720001220703125,52.68000030517578,13.720000267028809,50.52000045776367,51.400001525878906,14.130000114440918,51.650001525878906,52.630001068115234,29089800,6112500,4764300
2024-05-24,13.84000015258789,51.382694244384766,51.72999954223633,13.84000015258789,51.84000015258789,51.72999954223633,14.029999732971191,51.880001068115234,52.29999923706055,13.65999984741211,51.11000061035156,51.2599983215332,13.869999885559082,51.45000076293945,51.90999984741211,19589300,5196300,3488200
2024-05-28,13.4399995803833,49.836456298828125,50.63999938964844,13.4399995803833,50.279998779296875,50.63999938964844,13.90999984741211,51.7599983215332,51.93000030517578,13.420000076293945,50.20000076293945,50.43000030517578,13.850000381469727,51.709999084472656,51.849998474121094,32710300,6060800,4741600
2024-05-29,11.619999885559082,49.459808349609375,51.83000183105469,11.619999885559082,49.900001525878906,51.83000183105469,12.170000076293945,50.0,51.91999816894531,11.3100004196167,48.279998779296875,48.27000045776367,12.15999984741211,48.93000030517578,49.47999954223633,158980400,10796100,12342100
